218,VERA MCCOY,886649065861,Kabul,Afghanistan
441,MARIO CHEATHAM,406784385440,Batna,Algeria
69,JUDY GRAY,107137400143,Bchar,Algeria
176,JUNE CARROLL,506134035434,Skikda,Algeria
320,ANTHONY SCHWAB,478229987054,Tafuna,American Samoa
528,CLAUDE HERZOG,105882218332,Benguela,Angola
383,MARTIN BALES,106439158941,Namibe,Angola
381,BOBBY BOUDREAU,934352415130,South Hill,Anguilla
359,WILLIE MARKHAM,296394569728,Almirante Brown,Argentina
560,JORDAN ARCHULETA,817740355461,Avellaneda,Argentina
322,JASON MORRISSEY,972574862516,Baha Blanca,Argentina
24,KIMBERLY LEE,934730187245,Crdoba,Argentina
445,MICHEAL FORMAN,411549550611,Escobar,Argentina
530,DARRYL ASHCRAFT,717566026669,Ezeiza,Argentina
89,JULIA FLORES,846225459260,La Plata,Argentina
107,FLORENCE WOODS,330838016880,Merlo,Argentina
585,PERRY SWAFFORD,914466027044,Quilmes,Argentina
243,LYDIA BURKE,686015532180,San Miguel de Tucumn,Argentina
331,ERIC ROBERT,105470691550,Santa F,Argentina
405,LEONARD SCHOFIELD,779461480495,Tandil,Argentina
219,WILLIE HOWELL,991802825778,Vicente Lpez,Argentina
41,STEPHANIE MITCHELL,42384721397,Yerevan,Armenia
173,AUDREY RAY,493008546874,Graz,Austria
159,JILL HAWKINS,931059836497,Linz,Austria
266,NORA HERRERA,621625204422,Salzburg,Austria
333,ANDREW PURDY,119501405123,Baku,Azerbaijan
334,RAYMOND MCWHORTER,834626715837,Sumqayit,Azerbaijan
590,SETH HANNON,864392582257,al-Manama,Bahrain
332,STEPHEN QUALLS,38988715447,Dhaka,Bangladesh
329,FRANK WAGGONER,965273813662,Jamalpur,Bangladesh
21,MICHELLE CLARK,892775750063,Tangail,Bangladesh
527,CORY MEEHAN,338244023543,Mogiljov,Belarus
144,CLARA SHAW,563660187896,Molodetno,Belarus
455,JON WILES,205524798287,El Alto,Bolivia
431,JOEL FRANCISCO,82619513349,Sucre,Bolivia
551,CLAYTON BARBEE,380077794770,Alvorada,Brazil
307,JOSEPH JOY,573441801529,Angra dos Reis,Brazil
229,TAMARA NGUYEN,22326410776,Anpolis,Brazil
216,NATALIE MEYER,873492228462,Aparecida de Goinia,Brazil
77,JANE BENNETT,918711376618,Araatuba,Brazil
398,ANTONIO MEEK,841876514789,Bag,Brazil
362,NICHOLAS BARFIELD,675120358494,Belm,Brazil
206,TERRI VASQUEZ,90336226227,Blumenau,Brazil
342,HAROLD MARTINO,697656479977,Boa Vista,Brazil
325,TIMOTHY BUNN,829116184079,Braslia,Brazil
92,TINA SIMMONS,132986892228,Goinia,Brazil
427,JESUS MCCARTNEY,419009857119,Guaruj,Brazil
130,CHARLOTTE HUNTER,935448624185,guas Lindas de Gois,Brazil
310,DANIEL CABRAL,103602195112,Ibirit,Brazil
47,FRANCES PARKER,69493378813,Juazeiro do Norte,Brazil
591,KENT ARSENAULT,410877354933,Juiz de Fora,Brazil
183,IDA ANDREWS,947468818183,Luzinia,Brazil
246,MARIAN MENDOZA,741070712873,Maring,Brazil
126,ELLEN SIMPSON,582835362905,Po,Brazil
254,MAXINE SILVA,840522972766,Poos de Caldas,Brazil
74,DENISE KELLY,241832790687,Rio Claro,Brazil
178,MARION SNYDER,391065549876,Santa Brbara dOeste,Brazil
354,JUSTIN NGO,764680915323,Santo Andr,Brazil
544,CODY NOLEN,169352919175,So Bernardo do Campo,Brazil
443,FRANCISCO SKIDMORE,876491807547,So Leopoldo,Brazil
314,GEORGE LINTON,704948322302,Sorocaba,Brazil
39,DEBRA NELSON,378318851631,Vila Velha,Brazil
374,JEREMY HURTADO,600264533987,Vitria de Santo Anto,Brazil
91,LOIS BUTLER,345679835036,Bandar Seri Begawan,Brunei
540,TYRONE ASHER,932156667696,Ruse,Bulgaria
215,JESSIE BANKS,352679173732,Stara Zagora,Bulgaria
516,ELMER NOE,448876499197,Battambang,Cambodia
228,ALLISON STANLEY,594319417514,Phnom Penh,Cambodia
352,ALBERT CROUSE,256546485220,Bamenda,Cameroon
361,LAWRENCE LAWTON,845378657301,Yaound,Cameroon
